english,pos,cefr,translation_tr,alt_translation_tr,disambiguation,warning
AIDS,noun,B2,AIDS,,,
April,noun,A1,Nisan,,,
August,noun,A1,Ağustos,,,
CD,noun,A1,CD,,,
DVD,noun,A1,DVD,,,
December,noun,A1,Aralık,,,
February,noun,A1,Şubat,,,
Friday,noun,A1,Cuma,,,
I,pronoun,A1,ben,,,
ID,noun,B2,kimlik,,,
IT,noun,B1,bilişim,,,
January,noun,A1,Ocak,,,
July,noun,A1,Temmuz,,,
June,noun,A1,Haziran,,,
March,noun,A1,Mart,,,
May,noun,A1,Mayıs,,,
Monday,noun,A1,Pazartesi,,,
November,noun,A1,Kasım,,,
OK,exclamation,A1,tamam,,,
October,noun,A1,Ekim,,,
Saturday,noun,A1,Cumartesi,,,
September,noun,A1,Eylül,,,
Sunday,noun,A1,Pazar,,,
T-shirt,noun,A1,tişört,,,
TV,noun,A1,televizyon,,,
Thursday,noun,A1,Perşembe,,,
Tuesday,noun,A1,Salı,,,
Wednesday,noun,A1,Çarşamba,,,
abandon,verb,B2,terk etmek,,,
ability,noun,A2,yetenek,,,
able,adjective,A2,muktedir,yapabilen,,
abolish,verb,C1,kaldırmak,feshetmek,,
abortion,noun,C1,kürtaj,,,gevoelig onderwerp (medisch/ethisch geladen)
about,preposition,A1,hakkında,,"zie ook about (bijwoord) (concerning, regarding)",
about,adverb,A2,yaklaşık,,zie ook about (voorzetsel) (approximately),
above,preposition,A1,üstünde,,"zie ook above (bijwoord) (higher than, over)",
above,adverb,A1,yukarıda,,"zie ook above (voorzetsel) (higher up, overhead)",
abroad,adverb,B2,yurt dışında,,,
absence,noun,C1,yokluk,devamsızlık,,
absent,adjective,C1,yok,devamsız,,
absolute,adjective,B2,kesin,mutlak,,
absolutely,adverb,B1,kesinlikle,,,
absorb,verb,B2,emmek,özümsemek,,
abstract,adjective,B2,soyut,,,
absurd,adjective,C1,saçma,gülünç,,
abuse,noun,C1,istismar,suistimal,"zelfstandig naamwoord — zie ook abuse (werkwoord) (mistreatment, misuse)",
abuse,verb,C1,kötüye kullanmak,istismar etmek,"werkwoord — zie ook abuse (zelfstandig naamwoord) (to mistreat, misuse)",
academic,adjective,B1,akademik,,,
academy,noun,C1,akademi,,,
accelerate,verb,C1,hızlandırmak,,,
accent,noun,B2,aksan,şive,,
accept,verb,A2,kabul etmek,,,
acceptable,adjective,B2,kabul edilebilir,,,
acceptance,noun,C1,kabul,,,
access,noun,B1,erişim,,"zelfstandig naamwoord — zie ook access (werkwoord) (a way in, entry)",
access,verb,B1,erişmek,,"werkwoord — zie ook access (zelfstandig naamwoord) (to reach, get into)",
accessible,adjective,C1,erişilebilir,,,
accident,noun,A2,kaza,,,
accidentally,adverb,B2,kazara,yanlışlıkla,,
accommodate,verb,B2,barındırmak,uyum sağlamak,,
accommodation,noun,B2,konaklama,barınma,,
accompany,verb,B2,eşlik etmek,,,
accomplish,verb,B2,başarmak,gerçekleştirmek,,
accomplishment,noun,C1,başarı,,,
according to,preposition,A2,göre,,,
accordingly,adverb,C1,buna göre,dolayısıyla,,
account,noun,B1,hesap,,"zelfstandig naamwoord — zie ook account (werkwoord) (a record, a bank account)",
account,verb,B2,hesaba katmak,,werkwoord ('account for') — zie ook account (zelfstandig naamwoord) (to account for: to explain),
accountability,noun,C1,hesap verebilirlik,,,
accountable,adjective,C1,hesap verebilir,sorumlu,,
accountant,noun,B2,muhasebeci,,,
accumulate,verb,C1,biriktirmek,,,
accumulation,noun,C1,birikim,,,
accuracy,noun,B2,doğruluk,,,
accurate,adjective,B2,doğru,kesin,,
accurately,adverb,B2,doğru bir şekilde,,,
accusation,noun,C1,suçlama,itham,,
accuse,verb,B2,suçlamak,,,
accused,noun,C1,sanık,,,
achieve,verb,A2,başarmak,,,
achievement,noun,B1,başarı,,,
acid,noun,B2,asit,,(a sour chemical substance),
acid,adjective,C1,asitli,ekşi,"(sharp, sour)",
acknowledge,verb,B2,kabul etmek,onaylamak,,
acquire,verb,B2,edinmek,,,
acquisition,noun,C1,edinim,satın alma,,
acre,noun,B2,dönüm,,,'dönüm' (~940 m²) is geen exacte match voor acre (~4047 m²)
across,preposition,A1,karşısında,boyunca,zie ook across (bijwoord) (to/on the other side of),
across,adverb,A1,karşıya,,zie ook across (voorzetsel) (from one side to the other),
act,verb,A2,hareket etmek,,"werkwoord — zie ook act (zelfstandig naamwoord) (to behave, perform)",
act,noun,B1,eylem,,"zelfstandig naamwoord (handeling/daad) — zie ook act (bedrijf van toneelstuk) (an action, a deed)",
act,noun,C1,perde,,"zelfstandig naamwoord (bedrijf van een toneelstuk) — zie ook act (handeling) (an action, a deed)",
action,noun,A1,eylem,,,
activate,verb,B2,etkinleştirmek,harekete geçirmek,,
activation,noun,C1,etkinleştirme,,,
active,adjective,A2,aktif,,,
activist,noun,C1,aktivist,eylemci,,
activity,noun,A1,etkinlik,aktivite,,
actor,noun,A1,aktör,,,
actress,noun,A1,aktris,,,
actual,adjective,B2,gerçek,,,
actually,adverb,A2,aslında,,,
acute,adjective,C1,akut,şiddetli,ook: acute angle = dar açı,
ad,noun,B1,reklam,,,informeel
adapt,verb,B2,uyarlamak,uyum sağlamak,,
adaptation,noun,C1,uyarlama,adaptasyon,,
add,verb,A1,eklemek,,,
addiction,noun,B2,bağımlılık,,,
addition,noun,B1,ekleme,ilave,,
additional,adjective,B2,ek,,,
additionally,adverb,B2,ayrıca,,,
address,noun,A1,adres,,"zelfstandig naamwoord — zie ook address (werkwoord) (a location, e.g. a street address)",
address,verb,B2,hitap etmek,ele almak,"werkwoord — zie ook address (zelfstandig naamwoord) (to speak to, or to deal with)",
adequate,adjective,B2,yeterli,,,
adequately,adverb,B2,yeterince,,,
adhere,verb,C1,bağlı kalmak,yapışmak,,
adjacent,adjective,C1,bitişik,komşu,,
adjust,verb,B2,ayarlamak,uyum sağlamak,,
adjustment,noun,C1,ayarlama,düzenleme,,
administer,verb,C1,yönetmek,uygulamak,,
administration,noun,B1,yönetim,idare,,
administrative,adjective,C1,idari,,,
administrator,noun,C1,yönetici,,,
admire,verb,B1,hayran olmak,,,
admission,noun,C1,kabul,itiraf,"toelating, of bekentenis",
admit,verb,B1,kabul etmek,itiraf etmek,,
adolescent,noun,C1,ergen,,,
adopt,verb,B2,benimsemek,evlat edinmek,,
adoption,noun,C1,evlat edinme,benimseme,"kind adopteren, of idee/gewoonte overnemen",
